Orgs,,label
directorate general of defence estates,Directorate General of Defence Estates,0
max india limited        ,MAX INDIA LIMITED        ,1
billiards & snookers federation of india,Billiards & Snookers Federation of India,0
crest ventures limited   ,CREST VENTURES LIMITED   ,1
birla cable limited      ,BIRLA CABLE LIMITED      ,1
ministry of health and family welfare,Ministry of Health and Family Welfare,0
4 regional boards of apprenticeship / practical training,4 Regional Boards of Apprenticeship / Practical Training,0
jawaharlal nehru aluminium research development and design centre (jnarddc),Jawaharlal Nehru Aluminium Research Development and Design Centre (JNARDDC),0
north east carry corp ltd,NORTH EAST CARRY CORP LTD,1
central cottage industries corporation (ccic),Central Cottage Industries Corporation (CCIC),0
minda industries ltd.    ,MINDA INDUSTRIES LTD.    ,1
bharat wagon and engineering limited (public sector undertaking),Bharat Wagon and Engineering Limited (public sector undertaking),0
india tour. dev. co. ltd.,INDIA TOUR. DEV. CO. LTD.,1
"the institute of advanced study in science & technology, guwahati*","The Institute of Advanced Study in Science & Technology, Guwahati*",0
srs limited              ,SRS LIMITED              ,1
mold-tek packaging ltd   ,MOLD-TEK PACKAGING LTD   ,1
finolex cables ltd       ,FINOLEX CABLES LTD       ,1
national innovation foundation*,National Innovation Foundation*,0
nu tek india ltd         ,NU TEK INDIA LTD         ,1
simbhaoli sugars ltd.    ,SIMBHAOLI SUGARS LTD.    ,1
sakuma exports limited   ,SAKUMA EXPORTS LIMITED   ,1
adlabs entertainment ltd.,ADLABS ENTERTAINMENT LTD.,1
technofab eng ltd        ,TECHNOFAB ENG LTD        ,1
iti ltd                  ,ITI LTD                  ,1
magadh sugar & energy ltd,MAGADH SUGAR & ENERGY LTD,1
"national gallery of modern art, bengaluru","National Gallery of Modern Art, Bengaluru",0
"national board for higher mathematics (nbhm), new delhi","National Board for Higher Mathematics (NBHM), New Delhi",0
animal welfare board of india,Animal Welfare Board of India,0
indian council for cultural relations,Indian Council for Cultural Relations,0
supreme petrochemicals lt,SUPREME PETROCHEMICALS LT,1
"national biodiversity authority, chennai","National Biodiversity Authority, Chennai",0
rane holdings limited    ,RANE HOLDINGS LIMITED    ,1
sms pharmaceuticals ltd. ,SMS PHARMACEUTICALS LTD. ,1
wendt (india) limited    ,WENDT (INDIA) LIMITED    ,1
"indian association for the cultivation of science, kolkata*","Indian Association for the Cultivation of Science, Kolkata*",0
nbcc (india) limited     ,NBCC (INDIA) LIMITED     ,1
salona cotspin ltd.      ,SALONA COTSPIN LTD.      ,1
w.s.industries (i) ltd.  ,W.S.INDUSTRIES (I) LTD.  ,1
hindustan antibiotics,Hindustan Antibiotics,0
national steel & agro ind,NATIONAL STEEL & AGRO IND,1
department of criminal intelligence,Department of Criminal Intelligence,0
varroc engineering ltd.  ,VARROC ENGINEERING LTD.  ,1
finolex industries ltd   ,FINOLEX INDUSTRIES LTD   ,1
central bureau of narcotics,Central Bureau of Narcotics,0
man infra ltd            ,MAN INFRA LTD            ,1
industrial inv trust ltd ,INDUSTRIAL INV TRUST LTD ,1
press information bureau (pib),Press Information Bureau (PIB),0
tea board,Tea Board,0
ministry of petroleum and natural gas,Ministry of Petroleum and Natural Gas,0
geological survey of india (gsi),Geological Survey of India (GSI),0
tata investment corp ltd ,TATA INVESTMENT CORP LTD ,1
north zone cultural centre,North Zone Cultural Centre,0
skil infrastructure ltd. ,SKIL INFRASTRUCTURE LTD. ,1
nagreeka cap & infr.ltd  ,NAGREEKA CAP & INFR.LTD  ,1
persistent systems ltd   ,PERSISTENT SYSTEMS LTD   ,1
pennar industries ltd    ,PENNAR INDUSTRIES LTD    ,1
the invest trust of ind l,THE INVEST TRUST OF IND L,1
subordinate and statutory bodies,Subordinate and statutory bodies,0
jindal drilling ind. ltd ,JINDAL DRILLING IND. LTD ,1
usher agro ltd           ,USHER AGRO LTD           ,1
spentex ind. ltd         ,SPENTEX IND. LTD         ,1
media lab asia (mlasia),Media Lab Asia (MLAsia),0
autonomous bodies,Autonomous Bodies,0
cons. const. consort ltd ,CONS. CONST. CONSORT LTD ,1
to barc,to BARC,0
central reserve police force,Central Reserve Police Force,0
surya roshni ltd         ,SURYA ROSHNI LTD         ,1
centre for excellence in basic sciences,Centre for Excellence in Basic Sciences,0
department of drinking water supply,Department of Drinking Water Supply,0
carpet export promotion council (cepc),Carpet Export Promotion Council (CEPC),0
national fert. ltd       ,NATIONAL FERT. LTD       ,1
sheela foam limited      ,SHEELA FOAM LIMITED      ,1
ifgl refractories limited,IFGL REFRACTORIES LIMITED,1
prataap snacks limited   ,PRATAAP SNACKS LIMITED   ,1
indian academy of highway engineers (iahe),Indian Academy of Highway Engineers (IAHE),0
mayur uniquoters ltd     ,MAYUR UNIQUOTERS LTD     ,1
national cooperative housing federation of india (nchfi),National Cooperative Housing Federation of India (NCHFI),0
sbi life insurance co ltd,SBI LIFE INSURANCE CO LTD,1
pritish nandy communicati,PRITISH NANDY COMMUNICATI,1
marine products export development authority (mpeda),Marine Products Export Development Authority (MPEDA),0
[8],[8],0
institute of chartered accountants of india,Institute of Chartered Accountants of India,0
research & development sector,Research & Development Sector,0
coffee board,Coffee Board,0
railway protection force,Railway Protection Force,0
universal cables ltd     ,UNIVERSAL CABLES LTD     ,1
indian telephone industries limited (public sector undertaking),Indian Telephone Industries Limited (Public Sector Undertaking),0
deep industries ltd      ,DEEP INDUSTRIES LTD      ,1
ess dee alum ltd         ,ESS DEE ALUM LTD         ,1
national civil defence college,National Civil Defence College,0
union bank of india      ,UNION BANK OF INDIA      ,1
bharat road network ltd  ,BHARAT ROAD NETWORK LTD  ,1
hi-tech pipes limited    ,HI-TECH PIPES LIMITED    ,1
archies ltd              ,ARCHIES LTD              ,1
nalwa sons investment ltd,NALWA SONS INVESTMENT LTD,1
thirumalai chemicals ltd ,THIRUMALAI CHEMICALS LTD ,1
flexituff ventures int l ,FLEXITUFF VENTURES INT L ,1
"bose institute, kolkata*","Bose Institute, Kolkata*",0
income tax air intelligence unit,Income Tax Air Intelligence Unit,0
healthcare glob. ent. ltd,HEALTHCARE GLOB. ENT. LTD,1
texmaco rail & eng. ltd. ,TEXMACO RAIL & ENG. LTD. ,1
national commission for minorities (ncm),National Commission for Minorities (NCM),0
s.a.l. steel ltd.        ,S.A.L. STEEL LTD.        ,1
sanghvi for & eng ltd    ,SANGHVI FOR & ENG LTD    ,1
central council for research in ayurveda and siddha (ccras),Central Council for Research in Ayurveda and Siddha (CCRAS),0
manugraph india limited  ,MANUGRAPH INDIA LIMITED  ,1
petroleum federation of india (petrofed),Petroleum federation of India (Petrofed),0
mang.chem.fert.ltd       ,MANG.CHEM.FERT.LTD       ,1
sasken technologies ltd  ,SASKEN TECHNOLOGIES LTD  ,1
manaksia ltd.            ,MANAKSIA LTD.            ,1
hospital services consultancy corporation limited (hscc),Hospital Services Consultancy Corporation Limited (HSCC),0
indian institute of mass communication (iimc),Indian Institute of Mass Communication (IIMC),0
cupid limited            ,CUPID LIMITED            ,1
itc ltd                  ,ITC LTD                  ,1
alkyl amines chem. ltd   ,ALKYL AMINES CHEM. LTD   ,1
goods & services tax council (gstc),Goods & Services Tax Council (GSTC),0
"directorate of purchase and stores (dae) (dps), mumbai","Directorate of Purchase and Stores (DAE) (DPS), Mumbai",0
assam rifles,Assam Rifles,0
ganesha ecosphere limited,GANESHA ECOSPHERE LIMITED,1
wonderla holidays ltd.   ,WONDERLA HOLIDAYS LTD.   ,1
national institute of educational planning and administration (niepa),National Institute of Educational Planning and Administration (NIEPA),0
cerebra int tech ltd     ,CEREBRA INT TECH LTD     ,1
vijay shanthi build ltd  ,VIJAY SHANTHI BUILD LTD  ,1
l&t infotech limited     ,L&T INFOTECH LIMITED     ,1
statutory bodies,Statutory Bodies,0
hcl infosystems ltd      ,HCL INFOSYSTEMS LTD      ,1
gulf oil lub. ind. ltd.  ,GULF OIL LUB. IND. LTD.  ,1
indian body builders federation,Indian Body Builders Federation,0
shirpur gold refinery ltd,SHIRPUR GOLD REFINERY LTD,1
gujarat ambuja exports lt,GUJARAT AMBUJA EXPORTS LT,1
indian council of agricultural research (icar),Indian Council of Agricultural Research (ICAR),0
national electronic register of jain manuscripts,National Electronic Register of Jain Manuscripts,0
indo tech transform ltd. ,INDO TECH TRANSFORM LTD. ,1
philips carbon black ltd ,PHILIPS CARBON BLACK LTD ,1
ministry of education,Ministry of Education,0
ortin laboratories ltd   ,ORTIN LABORATORIES LTD   ,1
central government employees welfare housing organisation (cgewho),Central Government Employees Welfare Housing Organisation (CGEWHO),0
gujarat fluorochemicals l,GUJARAT FLUOROCHEMICALS L,1
trigyn technologies ltd  ,TRIGYN TECHNOLOGIES LTD  ,1
bhel                     ,BHEL                     ,1
remsons industries ltd   ,REMSONS INDUSTRIES LTD   ,1
shree cement limited     ,SHREE CEMENT LIMITED     ,1
all india chess federation,All India Chess Federation,0
export inspection council (eic),Export Inspection Council (EIC),0
royal orchid hotels ltd  ,ROYAL ORCHID HOTELS LTD  ,1
onward technologies ltd  ,ONWARD TECHNOLOGIES LTD  ,1
"commissions, committees and missions","Commissions, committees and missions",0
puravankara limited      ,PURAVANKARA LIMITED      ,1
nehru yuva kendra sangathan (nyks),Nehru Yuva Kendra Sangathan (NYKS),0
ifb industries ltd       ,IFB INDUSTRIES LTD       ,1
ksb limited              ,KSB LIMITED              ,1
ingersoll-rand india ltd ,INGERSOLL-RAND INDIA LTD ,1
unity infraprojects ltd  ,UNITY INFRAPROJECTS LTD  ,1
directorate of naval intelligence,Directorate of Naval Intelligence,0
bureaus,Bureaus,0
"national trust for the welfare of persons with autism, cerebral palsy, mental","National Trust for the Welfare of Persons with Autism, Cerebral Palsy, Mental",0
emami limited            ,EMAMI LIMITED            ,1
"welfare and rehabilitation board (warb), new delhi","Welfare and Rehabilitation Board (WARB), New Delhi",0
hindustan insecticides,Hindustan Insecticides,0
visaka industries limited,VISAKA INDUSTRIES LIMITED,1
s chand and company ltd  ,S CHAND AND COMPANY LTD  ,1
hind natl glass & ind ltd,HIND NATL GLASS & IND LTD,1
excel realty n infra ltd ,EXCEL REALTY N INFRA LTD ,1
"national industrial security academy (nisa), cisf, hyderabad","National Industrial Security Academy (NISA), CISF, Hyderabad",0
l&t technology ser. ltd. ,L&T TECHNOLOGY SER. LTD. ,1
bafna pharmaceuticals l  ,BAFNA PHARMACEUTICALS L  ,1
tribunals in india,Tribunals in India,0
uflex limited            ,UFLEX LIMITED            ,1
apl apollo tubes ltd     ,APL APOLLO TUBES LTD     ,1
izmo limited             ,IZMO LIMITED             ,1
dish tv india ltd.       ,DISH TV INDIA LTD.       ,1
honeywell automation ind ,HONEYWELL AUTOMATION IND ,1
zee learn limited        ,ZEE LEARN LIMITED        ,1
sonata software ltd      ,SONATA SOFTWARE LTD      ,1
others:,Others:,0
food corporation of india (statutory body),Food Corporation of India (statutory body),0
fluid control research institute (fcri),Fluid Control Research Institute (FCRI),0
"indian institute of entrepreneurship (iie), guwahati","Indian Institute of Entrepreneurship (IIE), Guwahati",0
summit securities ltd    ,SUMMIT SECURITIES LTD    ,1
container corporation of india (public sector undertaking),Container Corporation of India (public sector undertaking),0
lg balakrishnan & bros   ,LG BALAKRISHNAN & BROS   ,1
"national centre for coastal research(nccr), chennai (https://www.nccr.gov.in/?q=about-u","National Centre for Coastal Research(NCCR), Chennai (https://www.nccr.gov.in/?q=about-u",0
lumax auto tech ltd      ,LUMAX AUTO TECH LTD      ,1
advanced enzyme tech ltd ,ADVANCED ENZYME TECH LTD ,1
all india tennis association (aita),All India Tennis Association (AITA),0
directorate general of aeronautical quality assurance (dgaqa),Directorate General of Aeronautical Quality Assurance (DGAQA),0
"atomic energy regulatory board (aerb), mumbai, maharashtra is given some regulation","Atomic Energy Regulatory Board (AERB), Mumbai, Maharashtra is given some regulation",0
foreign service institute,Foreign Service Institute,0
jindal steel & power ltd ,JINDAL STEEL & POWER LTD ,1
ordnance factory board,Ordnance Factory Board,0
siemens ltd              ,SIEMENS LTD              ,1
national institute of industrial engineering (nitie),National Institute of Industrial Engineering (NITIE),0
oil industry development board,Oil Industry Development Board,0
care ratings limited     ,CARE RATINGS LIMITED     ,1
chittaranjan locomotive works,Chittaranjan Locomotive Works,0
food safety and standards authority of india (fssai),Food Safety and Standards Authority of India (FSSAI),0
national afforestation and eco-development board,National Afforestation and Eco-Development Board,0
"office of the controller general of patents, designs and trade marks (cgpdtm)","Office of the Controller General of Patents, Designs and Trade Marks (CGPDTM)",0
vinyl chemicals (i) ltd. ,VINYL CHEMICALS (I) LTD. ,1
the western india ply ltd,THE WESTERN INDIA PLY LTD,1
hindustan zinc limited   ,HINDUSTAN ZINC LIMITED   ,1
asahi songwon color ltd  ,ASAHI SONGWON COLOR LTD  ,1
intrasoft tech. ltd      ,INTRASOFT TECH. LTD      ,1
kamdhenu limited         ,KAMDHENU LIMITED         ,1
autonomous offices,Autonomous Offices,0
paramount comm ltd       ,PARAMOUNT COMM LTD       ,1
ministry of agriculture,Ministry of Agriculture,0
grindwell norton limited ,GRINDWELL NORTON LIMITED ,1
eclerx services ltd      ,ECLERX SERVICES LTD      ,1
fact ltd                 ,FACT LTD                 ,1
directorate of marketing & inspection (dmi)*,Directorate of Marketing & Inspection (DMI)*,0
dredging corp of india   ,DREDGING CORP OF INDIA   ,1
"khuda bakhsh oriental public library, patna","Khuda Bakhsh Oriental Public Library, Patna",0
sadbhav engineering ltd  ,SADBHAV ENGINEERING LTD  ,1
kajaria ceramics ltd     ,KAJARIA CERAMICS LTD     ,1
advanced training institute for electronics and process instrumentation,Advanced Training Institute for Electronics and Process Instrumentation,0
agricultural and processed food products export development authority (apeda),Agricultural and Processed Food Products Export Development Authority (APEDA),0
norben tea & exports ltd ,NORBEN TEA & EXPORTS LTD ,1
allahabad bank           ,ALLAHABAD BANK           ,1
gtl infra.ltd            ,GTL INFRA.LTD            ,1
departments,Departments,0
greaves cotton ltd.      ,GREAVES COTTON LTD.      ,1
poddar house & dvpt ltd  ,PODDAR HOUSE & DVPT LTD  ,1
kwality limited          ,KWALITY LIMITED          ,1
shankara bldg product ltd,SHANKARA BLDG PRODUCT LTD,1
narcotics control bureau(ncb) (internal/criminal investigation),Narcotics Control Bureau(NCB) (Internal/Criminal Investigation),0
varun beverages limited  ,VARUN BEVERAGES LIMITED  ,1
antarctica ltd           ,ANTARCTICA LTD           ,1
patspin india ltd        ,PATSPIN INDIA LTD        ,1
dental council of india,Dental Council of India,0
lokesh machines ltd      ,LOKESH MACHINES LTD      ,1
armed forces tribunal,Armed Forces Tribunal,0
akzo nobel india limited ,AKZO NOBEL INDIA LIMITED ,1
eih associated hotels ltd,EIH ASSOCIATED HOTELS LTD,1
district institute of education and training,District Institute of Education and Training,0
ministry of steel,Ministry of Steel,0
donear ind. limited      ,DONEAR IND. LIMITED      ,1
gujarat state petro ltd  ,GUJARAT STATE PETRO LTD  ,1
quick heal tech ltd      ,QUICK HEAL TECH LTD      ,1
cycling federation of india,Cycling Federation of India,0
rico auto industries ltd ,RICO AUTO INDUSTRIES LTD ,1
astral poly tech ltd     ,ASTRAL POLY TECH LTD     ,1
dhunseri investments ltd ,DHUNSERI INVESTMENTS LTD ,1
the gem and jewellery export promotion council (gjepc),The Gem and Jewellery Export Promotion Council (GJEPC),0
gss infotech limited     ,GSS INFOTECH LIMITED     ,1
igarashi motors india ltd,IGARASHI MOTORS INDIA LTD,1
uttam galva steels ltd   ,UTTAM GALVA STEELS LTD   ,1
"tata institute of fundamental research, hyderabad","Tata Institute of Fundamental Research, Hyderabad",0
national highway authority of india (nhai),National Highway Authority of India (NHAI),0
bannari am spin mill ltd.,BANNARI AM SPIN MILL LTD.,1
directorate general of income tax investigation(for economic exchange related offences),Directorate General of Income Tax Investigation(for economic exchange related offences),0
elgi rubber co. ltd      ,ELGI RUBBER CO. LTD      ,1
atlas cycle (haryana) ltd,ATLAS CYCLE (HARYANA) LTD,1
gujarat raffia indust ltd,GUJARAT RAFFIA INDUST LTD,1
jubilant foodworks ltd   ,JUBILANT FOODWORKS LTD   ,1
ministry of heavy industries,Ministry of Heavy Industries,0
cinevista limited        ,CINEVISTA LIMITED        ,1
hindustan prefab limited (hpl) (public sector undertaking),Hindustan Prefab Limited (HPL) (Public Sector Undertaking),0
tantia const ltd         ,TANTIA CONST LTD         ,1
jkumar infr.ltd.         ,JKUMAR INFR.LTD.         ,1
dhunseri ventures limited,DHUNSERI VENTURES LIMITED,1
departments,Departments,0
salasar techno engg. ltd.,SALASAR TECHNO ENGG. LTD.,1
national commission for safai karamcharis,National Commission for Safai Karamcharis,0
firstsource solu. ltd.   ,FIRSTSOURCE SOLU. LTD.   ,1
prime focus limited      ,PRIME FOCUS LIMITED      ,1
b.a.g films and media ltd,B.A.G FILMS AND MEDIA LTD,1
solara active pha sci ltd,SOLARA ACTIVE PHA SCI LTD,1
national pharmaceutical pricing authority,National Pharmaceutical Pricing Authority,0
mahamaya steel inds ltd  ,MAHAMAYA STEEL INDS LTD  ,1
films division,Films Division,0
commercial eng & co. ltd ,COMMERCIAL ENG & CO. LTD ,1
department of statistics,Department of Statistics,0
pioneer dist ltd         ,PIONEER DIST LTD         ,1
vimta labs limited       ,VIMTA LABS LIMITED       ,1
"agharkar research institute, pune*","Agharkar Research Institute, Pune*",0
nrb indus. bearings ltd. ,NRB INDUS. BEARINGS LTD. ,1
securities appellate tribunal,Securities Appellate Tribunal,0
balaji amines limited    ,BALAJI AMINES LIMITED    ,1
sundaram clayton limited ,SUNDARAM CLAYTON LIMITED ,1
hindustan motors limited ,HINDUSTAN MOTORS LIMITED ,1
ruchi infrastructure ltd ,RUCHI INFRASTRUCTURE LTD ,1
"centre for marine living resource and ecology(cmlre), kochi","Centre for Marine Living Resource and Ecology(CMLRE), Kochi",0
vaswani ind ltd          ,VASWANI IND LTD          ,1
orient hotels ltd        ,ORIENT HOTELS LTD        ,1
shriram cityuni fin.ltd. ,SHRIRAM CITYUNI FIN.LTD. ,1
tips industries limited  ,TIPS INDUSTRIES LIMITED  ,1
texmo pipe & products ltd,TEXMO PIPE & PRODUCTS LTD,1
blue dart express ltd    ,BLUE DART EXPRESS LTD    ,1
councils,Councils,0
national commission for backward classes (ncbc),National Commission for Backward Classes (NCBC),0
heidelbergcement (i) ltd ,HEIDELBERGCEMENT (I) LTD ,1
indian institute of plantation management bengaluru (iipm b),Indian Institute of Plantation Management Bengaluru (IIPM B),0
independent agencies/bodies,Independent Agencies/Bodies,0
production units,Production Units,0
goenka diamond&jewels ltd,GOENKA DIAMOND&JEWELS LTD,1
splendid metal products l,SPLENDID METAL PRODUCTS L,1
bls intl servs ltd       ,BLS INTL SERVS LTD       ,1
commissions/committees/missions,Commissions/Committees/Missions,0
atlanta limited          ,ATLANTA LIMITED          ,1
creditaccess grameen ltd ,CREDITACCESS GRAMEEN LTD ,1
directorate general of hydrocarbons,Directorate General of Hydrocarbons,0
chief commissioner of income tax central,Chief Commissioner of Income Tax Central,0
ravi kumar dist. ltd.    ,RAVI KUMAR DIST. LTD.    ,1
technocraft ind ltd      ,TECHNOCRAFT IND LTD      ,1
"vigyan prasar, new delhi*","Vigyan Prasar, New Delhi*",0
volleyball federation of india (vfi),Volleyball Federation of India (VFI),0
dynemic products limited ,DYNEMIC PRODUCTS LIMITED ,1
"indian national centre for ocean information services (incois), hyderabad","Indian National Centre for Ocean Information Services (INCOIS), Hyderabad",0
arrow greentech limited  ,ARROW GREENTECH LIMITED  ,1
national green tribunal,National Green Tribunal,0
cambridge tech enter ltd ,CAMBRIDGE TECH ENTER LTD ,1
ministry of commerce and industry,Ministry of Commerce and Industry,0
national culture fund,National Culture Fund,0
shah alloys limited      ,SHAH ALLOYS LIMITED      ,1
shriram epc ltd.         ,SHRIRAM EPC LTD.         ,1
heg ltd                  ,HEG LTD                  ,1
national council for promotion of urdu language (ncpul),National Council for Promotion of Urdu Language (NCPUL),0
quality council of india (qci),Quality Council of India (QCI),0
technical education,Technical Education,0
melstar information tech ,MELSTAR INFORMATION TECH ,1
ircon international ltd  ,IRCON INTERNATIONAL LTD  ,1
edelweiss fin serv ltd   ,EDELWEISS FIN SERV LTD   ,1
supreme industries ltd   ,SUPREME INDUSTRIES LTD   ,1
defence research and development organisation,Defence Research and Development Organisation,0
plastics export promotion council (plexconcil),Plastics Export Promotion Council (PLEXCONCIL),0
ashapura inti fashion ltd,ASHAPURA INTI FASHION LTD,1
cotton textile export promotion council (texprocil),Cotton Textile Export Promotion Council (TEXPROCIL),0
gpt infraprojects ltd    ,GPT INFRAPROJECTS LTD    ,1
harita seating sys. ltd  ,HARITA SEATING SYS. LTD  ,1
sambhaav media ltd       ,SAMBHAAV MEDIA LTD       ,1
setco automotive ltd     ,SETCO AUTOMOTIVE LTD     ,1
usha martin ltd.         ,USHA MARTIN LTD.         ,1
renaissance jewel. ltd.  ,RENAISSANCE JEWEL. LTD.  ,1
alembic limited          ,ALEMBIC LIMITED          ,1
central industrial security force,Central Industrial Security Force,0
sunteck realty limited   ,SUNTECK REALTY LIMITED   ,1
glenmark pharmaceuticals ,GLENMARK PHARMACEUTICALS ,1
autonomous bodies,Autonomous Bodies,0
ivrcl limited            ,IVRCL LIMITED            ,1
departments and attached offices,Departments and Attached Offices,0
officers training academy,Officers Training Academy,0
escorts india ltd        ,ESCORTS INDIA LTD        ,1
"harish-chandra research institute (hri), allahabad","Harish-Chandra Research Institute (HRI), Allahabad",0
alankit limited          ,ALANKIT LIMITED          ,1
kridhan infra limited    ,KRIDHAN INFRA LIMITED    ,1
office of the registrar of newspapers for india (rni),Office of the Registrar of Newspapers for India (RNI),0
abm international ltd    ,ABM INTERNATIONAL LTD    ,1
fairchem speciality ltd  ,FAIRCHEM SPECIALITY LTD  ,1
anant raj limited        ,ANANT RAJ LIMITED        ,1
aia engineering limited  ,AIA ENGINEERING LIMITED  ,1
"(ne-sac), umiam.","(NE-SAC), Umiam.",0
impex ferro tech limited ,IMPEX FERRO TECH LIMITED ,1
t t limited              ,T T LIMITED              ,1
bigbloc construction ltd ,BIGBLOC CONSTRUCTION LTD ,1
siyaram silk mills ltd   ,SIYARAM SILK MILLS LTD   ,1
united breweries ltd     ,UNITED BREWERIES LTD     ,1
everest industries ltd   ,EVEREST INDUSTRIES LTD   ,1
department of ocean development,Department of Ocean Development,0
dabur india ltd          ,DABUR INDIA LTD          ,1
31 national institutes of technology (nits),31 National Institutes of Technology (NITs),0
central tibetan school administration (ctsa),Central Tibetan School Administration (CTSA),0
n.b.i. ind. fin. co. ltd ,N.B.I. IND. FIN. CO. LTD ,1
godrej industries ltd    ,GODREJ INDUSTRIES LTD    ,1
netball federation of india,Netball Federation of India,0
aditya birla capital ltd.,ADITYA BIRLA CAPITAL LTD.,1
tasty bite eatables ltd  ,TASTY BITE EATABLES LTD  ,1
tci express limited      ,TCI EXPRESS LIMITED      ,1
national commission for minorities (ncm),National Commission for Minorities (NCM),0
national institute of financial management,National Institute of Financial Management,0
national school of drama,National School of Drama,0
dcm ltd                  ,DCM LTD                  ,1
national institute of entrepreneurship and small business development (niesbud),National Institute of Entrepreneurship and Small Business Development (NIESBUD),0
[10],[10],0
inox wind limited        ,INOX WIND LIMITED        ,1
the south indian bank ltd,THE SOUTH INDIAN BANK LTD,1
liberty shoes ltd        ,LIBERTY SHOES LTD        ,1
sree chitra tirunal institute for medical sciences and technology*,Sree Chitra Tirunal Institute for Medical Sciences and Technology*,0
oberoi realty limited    ,OBEROI REALTY LIMITED    ,1
rail land development authority,Rail Land Development Authority,0
orient refractories ltd  ,ORIENT REFRACTORIES LTD  ,1
kho-kho federation of india,Kho-Kho Federation of India,0
gujarat gas limited      ,GUJARAT GAS LIMITED      ,1
saregama india limited   ,SAREGAMA INDIA LIMITED   ,1
jute corporation of india ltd. (jci),Jute Corporation of India Ltd. (JCI),0
apparel export promotion council (aepc),Apparel Export Promotion Council (AEPC),0
national aluminium co ltd,NATIONAL ALUMINIUM CO LTD,1
linc pen & plastics ltd  ,LINC PEN & PLASTICS LTD  ,1
tamilnadu petroproducts l,TAMILNADU PETROPRODUCTS L,1
vip industries ltd       ,VIP INDUSTRIES LTD       ,1
general ins corp of india,GENERAL INS CORP OF INDIA,1
indian bureau of mines,Indian Bureau of Mines,0
energy deve. co.ltd      ,ENERGY DEVE. CO.LTD      ,1
directorate of income tax intelligence and criminal investigation (for criminal economic,Directorate of Income Tax Intelligence and Criminal Investigation (for criminal economic,0
tpl plastech limited     ,TPL PLASTECH LIMITED     ,1
reliance power ltd.      ,RELIANCE POWER LTD.      ,1
kotak mahindra bank ltd  ,KOTAK MAHINDRA BANK LTD  ,1
national commission for scheduled castes (ncsc),National Commission for Scheduled Castes (NCSC),0
education research and development organisation (erdo),Education Research and Development Organisation (ERDO),0
sobha limited            ,SOBHA LIMITED            ,1
network18 media & inv ltd,NETWORK18 MEDIA & INV LTD,1
"centre for wind energy technology, (cwet) chennai","Centre for Wind Energy Technology, (CWET) Chennai",0
central statistical office (cso),Central Statistical Office (CSO),0
tata communications ltd  ,TATA COMMUNICATIONS LTD  ,1
nitin spinners limited   ,NITIN SPINNERS LIMITED   ,1
mohota industries limited,MOHOTA INDUSTRIES LIMITED,1
geojit financial ser l   ,GEOJIT FINANCIAL SER L   ,1
monnet ispat & energy ltd,MONNET ISPAT & ENERGY LTD,1
zee entertainment ent ltd,ZEE ENTERTAINMENT ENT LTD,1
"liquid propulsion systems centre (lpsc), thiruvananthapuram.","Liquid Propulsion Systems Centre (LPSC), Thiruvananthapuram.",0
niit technologies ltd    ,NIIT TECHNOLOGIES LTD    ,1
department of school education and literacy,Department of School Education and Literacy,0
sti india ltd            ,STI INDIA LTD            ,1
autonomous bodies,Autonomous bodies,0
"unesco, international cooperation, book promotion and copyrights, education policy,","UNESCO, International Cooperation, Book Promotion and Copyrights, Education Policy,",0
eon electric limited     ,EON ELECTRIC LIMITED     ,1
"new space india limited (nsil), bangalore.","New Space India Limited (NSIL), Bangalore.",0
"indian museum, kolkata","Indian Museum, Kolkata",0
south india textile research association (sitra),South India Textile Research Association (SITRA),0
tera software limited    ,TERA SOFTWARE LIMITED    ,1
alembic pharma ltd       ,ALEMBIC PHARMA LTD       ,1
national institute of securities markets (nism),National Institute of Securities Markets (NISM),0
ganges securities limited,GANGES SECURITIES LIMITED,1
vardhman holdings limited,VARDHMAN HOLDINGS LIMITED,1
vakrangee limited        ,VAKRANGEE LIMITED        ,1
kaveri seed co. ltd.     ,KAVERI SEED CO. LTD.     ,1
sadbhav infra proj ltd.  ,SADBHAV INFRA PROJ LTD.  ,1
coal controller,Coal Controller,0
undertaking),Undertaking),0
powers by aec.,powers by AEC.,0
hindustan organic chemicals limited,Hindustan Organic Chemicals Limited,0
telecom regulatory authority of india(trai),Telecom Regulatory Authority of India(TRAI),0
trejhara solutions ltd   ,TREJHARA SOLUTIONS LTD   ,1
indraprastha gas ltd     ,INDRAPRASTHA GAS LTD     ,1
lux industries limited   ,LUX INDUSTRIES LIMITED   ,1
page industries ltd      ,PAGE INDUSTRIES LTD      ,1
kalyani forge limited    ,KALYANI FORGE LIMITED    ,1
navneet education ltd    ,NAVNEET EDUCATION LTD    ,1
"ministry of micro, small and medium enterprises","Ministry of Micro, Small and Medium Enterprises",0
council of scientific and industrial research,Council of Scientific and Industrial Research,0
sunflag iron and steel co,SUNFLAG IRON AND STEEL CO,1
the indian hotels co. ltd,THE INDIAN HOTELS CO. LTD,1
vip clothing limited     ,VIP CLOTHING LIMITED     ,1
jyothy labs ltd          ,JYOTHY LABS LTD          ,1
national centre for integrated pest management,National Centre for Integrated Pest Management,0
talwalkar fitness ltd    ,TALWALKAR FITNESS LTD    ,1
all india radio (air),All India Radio (AIR),0
ajmera realty & inf i ltd,AJMERA REALTY & INF I LTD,1
pradip overseas ltd      ,PRADIP OVERSEAS LTD      ,1
